PDBID,pK
2g94,9.52000
1g52,9.54000
1lhe,9.54000
1ws1,9.55000
1dmp,9.55000
1so2,9.57000
1o86,9.57000
1o45,9.60000
1snk,9.60000
1lhd,9.62000
7hvp,9.62000
1i7m,9.64000
1if8,9.64000
1tyn,9.70000
1mrw,9.70000
1eby,9.70000
1df8,9.70000
1bnu,9.70000
1jik,9.70000
1a7x,9.70000
1fkb,9.70000
1z6e,9.72000
2i0g,9.72000
1nh0,9.74000
2g00,9.74000
456c,9.77000
1h1b,9.80000
1bnt,9.80000
1nlj,9.80000
1tbz,9.80000
1zsr,9.82000
1pvn,9.82000
2std,9.85000
1e66,9.89000
2drc,9.89000
1bn3,9.89000
1a42,9.89000
1ouk,9.89000
1yt7,9.89000
1zsf,9.92000
1nfs,9.92000
1hxb,9.92000
1hvl,9.95000
1fjs,9.96000
1o5p,10.00000
2ceo,10.00000
1rwq,10.00000
1kv2,10.00000
1fmb,10.00000
1gar,10.00000
1bnm,10.00000
1bnn,10.00000
1d4h,10.00000
1ec2,10.00000
1flr,10.00000
1igj,10.00000
1bxo,10.00000
1g37,10.00000
1g3m,10.00000
1nm6,10.05000
1n4k,10.05000
1ind,10.05000
1sdu,10.07000
1sr7,10.10000
1y6r,10.11000
1pf7,10.14000
2bq6,10.15000
1a5g,10.15000
4tmn,10.17000
1xzx,10.22000
1mzc,10.22000
2bcd,10.22000
1qbu,10.24000
1ibc,10.25000
1c70,10.30000
1hvs,10.30000
4std,10.33000
1c4u,10.37000
1xm4,10.39000
1kzk,10.39000
1lhc,10.40000
1eb1,10.43000
1msm,10.48000
5std,10.49000
1if7,10.52000
1n46,10.52000
2f81,10.52000
2fzz,10.52000
1b8n,10.52000
1n43,10.55000
1g2o,10.55000
1qbr,10.57000
1qbt,10.62000
1b8o,10.64000
1dif,10.66000
1xon,10.68000
7std,10.72000
1c4v,10.80000
2ajd,10.80000
1ebg,10.82000
1els,10.82000
1hxw,10.82000
1hvi,10.92000
1n9m,10.96000
1hvk,10.96000
1m7y,10.96000
1dis,11.00000
1swp,11.00000
1q84,11.05000
1dqx,11.05000
1x1z,11.06000
1lor,11.06000
1eix,11.06000
1d4y,11.10000
3std,11.11000
1mq6,11.15000
1sme,11.22000
1hpx,11.26000
1mau,11.30000
1pro,11.30000
1nl6,11.32000
2hb3,11.35000
1hvj,11.40000
2i0a,11.40000
1lyb,11.42000
6cpa,11.52000
1akv,11.59000
2fv5,11.70000
1y6q,11.70000
1duv,11.80000
1sl3,11.85000
1mui,11.89000
1ctu,11.92000
1lf9,12.00000
1swk,12.00000
1swn,12.00000
1agm,12.00000
1gah,12.00000
2i0d,12.10000
1ndj,12.16000
1q83,12.39000
1rbo,12.72000
2gh7,13.00000
2f01,13.00000
2ada,13.00000
1a4m,13.00000
1stp,13.40000
1eol,13.42000
1eoj,13.77000
1amn,13.82000
7cpa,13.96000
1avd,15.00000
2avi,15.22000
