,PDBID,pK
6705,1m2r,6.46
6706,1q4w,6.46
6707,1r5y,6.46
6708,1ro6,6.46
6709,1w2k,6.46
6710,1wbn,6.46
6711,2c6m,6.46
6712,2ohv,6.46
6713,2vwu,6.46
6714,2xd9,6.46
6715,2xdx,6.46
6716,2y4m,6.46
6717,3anr,6.46
6718,3i6m,6.46
6719,3kdu,6.46
6720,3o8p,6.46
6721,3pd8,6.46
6722,3tnh,6.46
6723,3zy2,6.46
6724,4dgn,6.46
6725,4hyb,6.46
6726,4m0y,6.46
6727,4n07,6.46
6728,4w4y,6.46
6729,4ymh,6.46
6730,5ap4,6.46
6731,7abp,6.46
6732,1aqj,6.47
6733,1bxl,6.47
6734,1j01,6.47
6735,1o9k,6.47
6736,1wbt,6.47
6737,2o64,6.47
6738,2xu4,6.47
6739,3cm2,6.47
6740,3gcq,6.47
6741,3s78,6.47
6742,3tfp,6.47
6743,3zh8,6.47
6744,4aft,6.47
6745,4fea,6.47
6746,4ju4,6.47
6747,4jzb,6.47
6748,4mhy,6.47
6749,4psx,6.47
6750,4rd3,6.47
6751,4uv8,6.47
6752,4zhl,6.47
6753,4zji,6.47
6754,5ai1,6.47
6755,5c11,6.47
6756,1c50,6.48
6757,1f4g,6.48
6758,1gpn,6.48
6759,1q9m,6.48
6760,1rpj,6.48
6761,2f89,6.48
6762,2hz0,6.48
6763,2nqg,6.48
6764,2oz5,6.48
6765,2q2n,6.48
6766,2w6p,6.48
6767,2w71,6.48
6768,2wnj,6.48
6769,2x24,6.48
6770,2y5l,6.48
6771,3cph,6.48
6772,3g3r,6.48
6773,3gsm,6.48
6774,3ieo,6.48
6775,3nc9,6.48
6776,3ogx,6.48
6777,3p3u,6.48
6778,4e67,6.48
6779,4kon,6.48
6780,4mg8,6.48
6781,4n7e,6.48
6782,4nat,6.48
6783,4pvv,6.48
6784,4q0a,6.48
6785,4q3t,6.48
6786,4yoi,6.48
6787,1dl7,6.49
6788,1fsw,6.49
6789,1ru2,6.49
6790,1s4d,6.49
6791,1x11,6.49
6792,2h02,6.49
6793,2qf6,6.49
6794,2ygu,6.49
6795,3ara,6.49
6796,3bft,6.49
6797,3bum,6.49
6798,3h0j,6.49
6799,3mho,6.49
6800,3mj5,6.49
6801,3muf,6.49
6802,3nw3,6.49
6803,3qar,6.49
6804,3qel,6.49
6805,3s0b,6.49
6806,3u6a,6.49
6807,3u8h,6.49
6808,3wut,6.49
6809,4brx,6.49
6810,4d8s,6.49
6811,4eoy,6.49
6812,4gv8,6.49
6813,4hw3,6.49
6814,4mwb,6.49
6815,4v11,6.49
6816,4yee,6.49
6817,4z68,6.49
6818,5ar7,6.49
6819,1xa5,6.50
6820,2g72,6.50
6821,2gj4,6.50
6822,2weg,6.50
6823,3bwj,6.50
6824,3qcs,6.50
6825,4ith,6.50
6826,4kzu,6.50
6827,4mme,6.50
6828,4mw4,6.50
6829,4oc0,6.50
6830,4qws,6.50
6831,1h3c,6.51
6832,1vwf,6.51
6833,2jdh,6.51
6834,2jkt,6.51
6835,2usn,6.51
6836,2wtc,6.51
6837,2xjj,6.51
6838,2y56,6.51
6839,3cj4,6.51
6840,3gds,6.51
6841,3hf8,6.51
6842,3hv4,6.51
6843,3k5u,6.51
6844,3r93,6.51
6845,3wmc,6.51
6846,4bo9,6.51
6847,4e3o,6.51
6848,4fut,6.51
6849,4hlg,6.51
6850,4nka,6.51
6851,4zbi,6.51
6852,1alw,6.52
6853,1ct8,6.52
6854,1esz,6.52
6855,1g74,6.52
6856,1gt4,6.52
6857,1h28,6.52
6858,1j80,6.52
6859,1k3q,6.52
6860,1k9s,6.52
6861,1m21,6.52
6862,1mqh,6.52
6863,1qy1,6.52
6864,1rsd,6.52
6865,1w1d,6.52
6866,1zhy,6.52
6867,2f9b,6.52
6868,2fx8,6.52
6869,2gz7,6.52
6870,2h4g,6.52
6871,2ima,6.52
6872,2jql,6.52
6873,2nn7,6.52
6874,2nt7,6.52
6875,2ntf,6.52
6876,2o4h,6.52
6877,2off,6.52
6878,2oxy,6.52
6879,2pfy,6.52
6880,2rc8,6.52
6881,2v3e,6.52
6882,2vev,6.52
6883,2w0p,6.52
6884,2w73,6.52
6885,2x2k,6.52
6886,2zft,6.52
6887,3bva,6.52
6888,3c10,6.52
6889,3dx3,6.52
6890,3g2v,6.52
6891,3hio,6.52
6892,3hjo,6.52
6893,3hzv,6.52
6894,3ljj,6.52
6895,3o9p,6.52
6896,3p4q,6.52
6897,3qkk,6.52
6898,3rwf,6.52
6899,3uo4,6.52
6900,3zm6,6.52
6901,4aig,6.52
6902,4bo3,6.52
6903,4bqx,6.52
6904,4dko,6.52
6905,4dkr,6.52
6906,4ez5,6.52
6907,4ezo,6.52
6908,4fiv,6.52
6909,4krs,6.52
6910,4loj,6.52
6911,4nj3,6.52
6912,4og5,6.52
6913,4pvt,6.52
6914,4qme,6.52
6915,4qps,6.52
6916,4r0i,6.52
6917,4rxd,6.52
6918,4tzn,6.52
6919,4tzq,6.52
6920,4ydq,6.52
6921,4zeb,6.52
6922,5al4,6.52
6923,5est,6.52
6924,2p7g,6.53
6925,3ama,6.53
6926,3wtj,6.53
6927,3wtk,6.53
6928,4mmf,6.53
6929,4qvl,6.53
6930,5a0e,6.53
6931,5alm,6.53
6932,1d3q,6.54
6933,1drv,6.54
6934,1h39,6.54
6935,1hvy,6.54
6936,1o3l,6.54
6937,1vyz,6.54
6938,1zz3,6.54
6939,2evc,6.54
6940,2h21,6.54
6941,2jdk,6.54
6942,2zfs,6.54
6943,2zhd,6.54
6944,2zns,6.54
6945,3b8z,6.54
6946,3d0b,6.54
6947,3exf,6.54
6948,3fuz,6.54
6949,3g4k,6.54
6950,3hii,6.54
6951,3jvs,6.54
6952,3mxc,6.54
6953,3piy,6.54
6954,3pvu,6.54
6955,3sl8,6.54
6956,3sr4,6.54
6957,4a4v,6.54
6958,4aqh,6.54
6959,4btx,6.54
6960,4ht2,6.54
6961,4leq,6.54
6962,4p0b,6.54
6963,4pl3,6.54
6964,4ps5,6.54
6965,4pv5,6.54
6966,4u90,6.54
6967,4uac,6.54
6968,4uu8,6.54
6969,4w9k,6.54
6970,5cfa,6.54
6971,5cqu,6.54
6972,1dhj,6.55
6973,1h3a,6.55
6974,1hmr,6.55
6975,1hp5,6.55
6976,1n4h,6.55
6977,1q4k,6.55
6978,1umw,6.55
6979,1yc4,6.55
6980,1yda,6.55
6981,2bok,6.55
6982,2fgh,6.55
6983,2i3v,6.55
6984,2uw6,6.55
6985,2xxr,6.55
6986,3cho,6.55
6987,3s0e,6.55
6988,4clb,6.55
6989,4frj,6.55
6990,4iue,6.55
6991,4k42,6.55
6992,4o9s,6.55
6993,4og3,6.55
6994,4qp8,6.55
6995,4tkf,6.55
6996,4x2s,6.55
6997,2khh,6.56
6998,2zq2,6.56
6999,4db7,6.56
7000,4kg1,6.56
7001,4lbu,6.56
7002,4lnb,6.56
7003,1ft4,6.57
7004,1gzv,6.57
7005,1sld,6.57
7006,1ujk,6.57
7007,1wva,6.57
7008,1y2c,6.57
7009,1zub,6.57
7010,2c6l,6.57
7011,2cv3,6.57
7012,2fqy,6.57
7013,2hzl,6.57
7014,2lbm,6.57
7015,2m3z,6.57
7016,2pwc,6.57
7017,2r9b,6.57
7018,3cgf,6.57
7019,3cm7,6.57
7020,3il6,6.57
7021,3lc5,6.57
7022,3ove,6.57
7023,3qox,6.57
7024,3rbm,6.57
7025,3sax,6.57
7026,3tfn,6.57
7027,3wci,6.57
7028,4byj,6.57
7029,4fs4,6.57
7030,4ge5,6.57
7031,4jgv,6.57
7032,4l0i,6.57
7033,4la7,6.57
7034,4mzo,6.57
7035,4nnn,6.57
7036,4x68,6.57
7037,4zum,6.57
7038,5aln,6.57
7039,5er2,6.57
7040,5lpr,6.57
7041,1k1i,6.58
7042,2p7z,6.58
7043,3pb9,6.58
7044,3sd5,6.58
7045,4cd4,6.58
7046,5em5,6.58
7047,1b58,6.59
7048,1c2t,6.59
7049,1c3e,6.59
7050,1fiv,6.59
7051,1hk3,6.59
7052,1izi,6.59
7053,1mq1,6.59
7054,1n7i,6.59
7055,1qr3,6.59
7056,2byh,6.59
7057,2e91,6.59
7058,2pvh,6.59
7059,2pwr,6.59
7060,2v7d,6.59
7061,2xzq,6.59
7062,3gs6,6.59
7063,3kah,6.59
7064,3kdt,6.59
7065,3opr,6.59
7066,3t8v,6.59
7067,3tl0,6.59
7068,3uvn,6.59
7069,3wcl,6.59
7070,4bnz,6.59
7071,4dea,6.59
7072,4j51,6.59
7073,4li0,6.59
7074,4q3s,6.59
7075,4qnb,6.59
7076,4rn0,6.59
7077,4xas,6.59
7078,5akh,6.59
7079,5ddd,6.59
7080,5e0a,6.59
7081,1ad8,6.60
7082,1b38,6.60
7083,1d8e,6.60
7084,1g7g,6.60
7085,1gwr,6.60
7086,1jzs,6.60
7087,1kwr,6.60
7088,1vot,6.60
7089,1zpc,6.60
7090,2a4z,6.60
7091,2c5x,6.60
7092,2c5y,6.60
7093,2euk,6.60
7094,2f7p,6.60
7095,2gg2,6.60
7096,2gg5,6.60
7097,2gtk,6.60
7098,2j4g,6.60
7099,2jdp,6.60
7100,2wly,6.60
7101,2xhx,6.60
7102,2y77,6.60
7103,3cwk,6.60
7104,3dgl,6.60
7105,3dln,6.60
7106,3ejs,6.60
7107,3eju,6.60
7108,3eyl,6.60
7109,3ip6,6.60
7110,3jzp,6.60
7111,3lxe,6.60
7112,3mpt,6.60
7113,3tu1,6.60
7114,3v3q,6.60
7115,4bib,6.60
7116,4bie,6.60
7117,4ci1,6.60
7118,4dkq,6.60
7119,4efu,6.60
7120,4f08,6.60
7121,4h75,6.60
7122,4mr5,6.60
7123,4mr6,6.60
7124,4oc1,6.60
7125,4pnk,6.60
7126,4qk4,6.60
7127,4qr4,6.60
7128,4wpf,6.60
7129,4x8o,6.60
7130,4xii,6.60
7131,4ybi,6.60
7132,4zzd,6.60
7133,5alk,6.60
7134,3f7u,6.61
7135,3kig,6.61
7136,3mo2,6.61
7137,3qpo,6.61
7138,3rjm,6.61
7139,4nnw,6.61
7140,4qw3,6.61
7141,5ai9,6.61
7142,1afk,6.62
7143,1ii5,6.62
7144,1jd5,6.62
7145,1kkq,6.62
7146,1s3k,6.62
7147,1soj,6.62
7148,1tkz,6.62
7149,1xnz,6.62
7150,2cnf,6.62
7151,2ews,6.62
7152,2j7b,6.62
7153,2jgs,6.62
7154,2vwc,6.62
7155,2vww,6.62
7156,2w0j,6.62
7157,2zb0,6.62
7158,2zq1,6.62
7159,3aav,6.62
7160,3iu9,6.62
7161,3ka2,6.62
7162,3ljo,6.62
7163,3m93,6.62
7164,3opm,6.62
7165,3ozp,6.62
7166,3umx,6.62
7167,4btk,6.62
7168,4er1,6.62
7169,4gfo,6.62
7170,4ixv,6.62
7171,4mpn,6.62
7172,4rd0,6.62
7173,4txc,6.62
7174,4unq,6.62
7175,4x8n,6.62
7176,4y94,6.62
7177,8lpr,6.62
7178,2exc,6.63
7179,2qlq,6.63
7180,2x7t,6.63
7181,2yfe,6.63
7182,3arb,6.63
7183,3f8f,6.63
7184,3os3,6.63
7185,3wf8,6.63
7186,4eyr,6.63
7187,4jg1,6.63
7188,4k77,6.63
7189,4l0v,6.63
7190,4lyw,6.63
7191,4nw7,6.63
7192,4pv7,6.63
7193,4rsc,6.63
7194,4xip,6.63
7195,4xrq,6.63
7196,1lcp,6.64
7197,1sln,6.64
7198,1tmm,6.64
7199,2b1g,6.64
7200,2d3z,6.64
7201,2gej,6.64
7202,2h96,6.64
7203,2jdo,6.64
7204,2kpl,6.64
7205,2oi3,6.64
7206,2srt,6.64
7207,2wap,6.64
7208,2wbd,6.64
7209,2wi6,6.64
7210,2za0,6.64
7211,3b26,6.64
7212,3cf1,6.64
7213,3eoc,6.64
7214,3fee,6.64
7215,3g76,6.64
7216,3zy5,6.64
7217,4cc6,6.64
7218,4e8z,6.64
7219,4io8,6.64
7220,4jit,6.64
7221,4rxe,6.64
7222,5abp,6.64
7223,2j75,6.65
7224,2pre,6.65
7225,3eio,6.65
7226,3mzc,6.65
7227,3zpr,6.65
7228,4hww,6.65
7229,4yha,6.65
7230,1a4r,6.66
7231,1cps,6.66
7232,1elc,6.66
7233,1h3h,6.66
7234,1o3p,6.66
7235,1pxp,6.66
7236,1wur,6.66
7237,2c5n,6.66
7238,2c8x,6.66
7239,2j7w,6.66
7240,2v5x,6.66
7241,2vx1,6.66
7242,2xj7,6.66
7243,2y5k,6.66
7244,2yz3,6.66
7245,2zm1,6.66
7246,3iej,6.66
7247,3lnj,6.66
7248,3lp2,6.66
7249,3ow6,6.66
7250,3pwd,6.66
7251,3shv,6.66
7252,3uat,6.66
7253,3zj6,6.66
7254,4bjb,6.66
7255,4e96,6.66
7256,4izm,6.66
7257,4j08,6.66
7258,4jr3,6.66
7259,4jv6,6.66
7260,4ps1,6.66
7261,4v27,6.66
7262,4z2g,6.66
7263,4z7h,6.66
7264,4zjw,6.66
7265,2etm,6.67
7266,3ew2,6.67
7267,3g19,6.67
7268,4yl1,6.67
7269,5aad,6.67
7270,5cav,6.67
7271,1bdr,6.68
7272,1c5x,6.68
7273,1mai,6.68
7274,1oiu,6.68
7275,1zeo,6.68
7276,2cm7,6.68
7277,2fqw,6.68
7278,2iwx,6.68
7279,2of2,6.68
7280,2ony,6.68
7281,2qbs,6.68
7282,2qp6,6.68
7283,2rcu,6.68
7284,2wf0,6.68
7285,2wtd,6.68
7286,3dab,6.68
7287,3ddq,6.68
7288,3fhr,6.68
7289,3ie3,6.68
7290,3lpf,6.68
7291,3o75,6.68
7292,3qa2,6.68
7293,3su1,6.68
7294,3ttj,6.68
7295,3ws8,6.68
7296,3zhx,6.68
7297,4acm,6.68
7298,4ca8,6.68
7299,4ew2,6.68
7300,4h39,6.68
7301,4h4e,6.68
7302,4l2g,6.68
7303,4q6r,6.68
7304,4rrs,6.68
7305,4ttv,6.68
7306,4wpn,6.68
7307,2jew,6.69
7308,2xn5,6.69
7309,3wf7,6.69
7310,4b4m,6.69
7311,4d8i,6.69
7312,4mm6,6.69
7313,5alf,6.69
7314,1a09,6.70
7315,1a50,6.70
7316,1b0h,6.70
7317,1b3g,6.70
7318,1dfo,6.70
7319,1eld,6.70
7320,1f3e,6.70
7321,1fo3,6.70
7322,1gca,6.70
7323,1hp0,6.70
7324,1i7i,6.70
7325,1jq3,6.70
7326,1ke3,6.70
7327,1kf6,6.70
7328,1koj,6.70
7329,1lfo,6.70
7330,1mwn,6.70
7331,1nki,6.70
7332,1nms,6.70
7333,1p10,6.70
7334,1qy5,6.70
7335,1rdt,6.70
7336,1rek,6.70
7337,1unl,6.70
7338,1xdd,6.70
7339,1xr8,6.70
7340,1z6q,6.70
7341,2a5s,6.70
7342,2emt,6.70
7343,2eum,6.70
7344,2evl,6.70
7345,2fwy,6.70
7346,2is0,6.70
7347,2j2i,6.70
7348,2kup,6.70
7349,2lcs,6.70
7350,2lkk,6.70
7351,2ow0,6.70
7352,2oxx,6.70
7353,2py4,6.70
7354,2va7,6.70
7355,2x7d,6.70
7356,2xx5,6.70
7357,3c7n,6.70
7358,3eko,6.70
7359,3hzk,6.70
7360,3ipb,6.70
7361,3k3b,6.70
7362,3mb7,6.70
7363,3mhi,6.70
7364,3oyl,6.70
7365,3pck,6.70
7366,3pgu,6.70
7367,3rk7,6.70
7368,3sff,6.70
7369,3t60,6.70
7370,3t64,6.70
7371,3upf,6.70
7372,3zs0,6.70
7373,4apr,6.70
7374,4azy,6.70
7375,4bo0,6.70
7376,4ewn,6.70
7377,4f09,6.70
7378,4fns,6.70
7379,4hy0,6.70
7380,4io2,6.70
7381,4jjs,6.70
7382,4jyc,6.70
7383,4jz1,6.70
7384,4k4f,6.70
7385,4lh5,6.70
7386,4lkj,6.70
7387,4m13,6.70
7388,4m14,6.70
7389,4m7b,6.70
7390,4mex,6.70
7391,4mw2,6.70
7392,4o1l,6.70
7393,4o2p,6.70
7394,4os2,6.70
7395,4pyv,6.70
7396,4qhc,6.70
7397,4qta,6.70
7398,4qtb,6.70
7399,4tzm,6.70
7400,4u5t,6.70
7401,4uit,6.70
7402,4uns,6.70
7403,5ar4,6.70
7404,5dhj,6.70
7405,1w82,6.71
7406,2f94,6.71
7407,4cd5,6.71
7408,4jrg,6.71
7409,4og6,6.71
7410,1n4m,6.72
7411,1ov3,6.72
7412,1rbp,6.72
7413,2f3f,6.72
7414,2jdu,6.72
7415,2pjl,6.72
7416,2rt5,6.72
7417,2vpn,6.72
7418,2w3o,6.72
7419,2x8i,6.72
7420,2xc0,6.72
7421,2xne,6.72
7422,2zz6,6.72
7423,3aqt,6.72
7424,3bm9,6.72
7425,3bxz,6.72
7426,3diw,6.72
7427,3fun,6.72
7428,3g7l,6.72
7429,3gst,6.72
7430,3kyr,6.72
7431,3l4v,6.72
7432,3l4z,6.72
7433,4bb4,6.72
7434,4djv,6.72
7435,4dv9,6.72
7436,4dvi,6.72
7437,4flp,6.72
7438,4h58,6.72
7439,4i73,6.72
7440,4i74,6.72
7441,4lwc,6.72
7442,4o0a,6.72
7443,4q4e,6.72
7444,4raq,6.72
7445,4uia,6.72
7446,4xv9,6.72
7447,5e1m,6.72
7448,5fwg,6.72
7449,1jld,6.73
7450,1o6h,6.73
7451,1wvj,6.73
7452,1x7q,6.73
7453,2cma,6.73
7454,2q8s,6.73
7455,4a51,6.73
7456,4kby,6.73
7457,4mx0,6.73
7458,4pum,6.73
7459,4r5b,6.73
7460,4w9h,6.73
7461,5aly,6.73
7462,5am6,6.73
7463,1add,6.74
7464,1r5h,6.74
7465,1tmb,6.74
7466,1usi,6.74
7467,2azc,6.74
7468,2p3d,6.74
7469,2pax,6.74
7470,2uzd,6.74
7471,2vex,6.74
7472,2vj9,6.74
7473,2wxf,6.74
7474,2x91,6.74
7475,2x9e,6.74
7476,2zc9,6.74
7477,2zgx,6.74
7478,3anq,6.74
7479,3dgo,6.74
7480,3fh8,6.74
7481,3fzy,6.74
7482,3heg,6.74
7483,3hng,6.74
7484,3m67,6.74
7485,3mv5,6.74
7486,3n6k,6.74
7487,3oim,6.74
7488,3pdh,6.74
7489,3pdq,6.74
7490,3q6s,6.74
7491,3r21,6.74
7492,3s0n,6.74
7493,3wav,6.74
7494,3zm5,6.74
7495,4bo6,6.74
7496,4ca6,6.74
7497,4cy1,6.74
7498,4ew3,6.74
7499,4f9y,6.74
7500,4hwr,6.74
7501,4j0t,6.74
7502,4lg6,6.74
7503,4lxz,6.74
7504,4oyk,6.74
7505,4p4e,6.74
7506,4rxz,6.74
7507,4wlb,6.74
7508,4wmu,6.74
7509,4ylk,6.74
7510,4zpf,6.74
7511,1cx9,6.75
7512,1h5u,6.75
7513,3ekq,6.75
7514,3ikd,6.75
7515,4ci2,6.75
7516,4cwt,6.75
7517,1rw8,6.76
7518,1w22,6.76
7519,2on6,6.76
7520,3ard,6.76
7521,4b4g,6.76
7522,4dce,6.76
7523,4fn5,6.76
7524,4hlc,6.76
7525,4jg0,6.76
7526,4jzf,6.76
7527,1bkj,6.77
7528,1bzh,6.77
7529,1hk2,6.77
7530,1mqd,6.77
7531,1ms7,6.77
7532,1o30,6.77
7533,1o3j,6.77
7534,1o3k,6.77
7535,1om1,6.77
7536,1ony,6.77
7537,1qb1,6.77
7538,1y19,6.77
7539,2c1a,6.77
7540,2hyy,6.77
7541,2jdt,6.77
7542,2piz,6.77
7543,2vo7,6.77
7544,2w10,6.77
7545,2x2m,6.77
7546,2xb9,6.77
7547,3evf,6.77
7548,3fas,6.77
7549,3fvn,6.77
7550,3gjt,6.77
7551,3ine,6.77
7552,3m40,6.77
7553,3zcz,6.77
7554,4cwp,6.77
7555,4gj7,6.77
7556,4hlm,6.77
7557,4i10,6.77
7558,4j8t,6.77
7559,4loi,6.77
7560,4nzo,6.77
7561,4p4f,6.77
7562,4x48,6.77
7563,4x63,6.77
7564,4zup,6.77
7565,5c26,6.77
7566,3fal,6.78
7567,3gcu,6.78
7568,3kyf,6.78
7569,3l9l,6.78
7570,4hnp,6.78
7571,4kqo,6.78
7572,4wy7,6.78
7573,5ahu,6.78
7574,2rcb,6.79
7575,3su0,6.79
7576,4i9s,6.79
7577,4l31,6.79
7578,4ogj,6.79
7579,4wkv,6.79
7580,4xnv,6.79
7581,1bl6,6.80
7582,1fl3,6.80
7583,1mkd,6.80
7584,1nq7,6.80
7585,1okx,6.80
7586,1p1n,6.80
7587,1ttv,6.80
7588,1ung,6.80
7589,1y2e,6.80
7590,2ai8,6.80
7591,2i0v,6.80
7592,2xhm,6.80
7593,2xm8,6.80
7594,2xnm,6.80
7595,2xu3,6.80
7596,3c4c,6.80
7597,3c88,6.80
7598,3d94,6.80
7599,3fui,6.80
7600,3fv8,6.80
7601,3fx6,6.80
7602,3ihz,6.80
7603,3kc3,6.80
7604,3mbp,6.80
7605,3qcq,6.80
7606,3qn7,6.80
7607,3s2v,6.80
7608,3sdk,6.80
7609,3t03,6.80
7610,3uib,6.80
7611,3uvk,6.80
7612,3zke,6.80
7613,3zrl,6.80
7614,4aro,6.80
7615,4er4,6.80
7616,4g2f,6.80
7617,4j0a,6.80
7618,4l7f,6.80
7619,4lkg,6.80
7620,4nze,6.80
7621,4u0s,6.80
7622,4wno,6.80
7623,4xt9,6.80
7624,4yoz,6.80
7625,5a83,6.80
7626,5c83,6.80
7627,2f3e,6.81
7628,2uwp,6.81
7629,3bc3,6.81
7630,3mo0,6.81
7631,4ci3,6.81
7632,4eqf,6.81
7633,4m48,6.81
7634,5cnm,6.81
7635,1db5,6.82
7636,1drk,6.82
7637,1fhd,6.82
7638,1fsy,6.82
7639,1hgt,6.82
7640,1jeu,6.82
7641,1k1n,6.82
7642,1lrh,6.82
7643,1n7t,6.82
7644,1nnu,6.82
7645,1o37,6.82
7646,1o38,6.82
7647,1pmv,6.82
7648,1s9t,6.82
7649,1tr7,6.82
7650,1uwf,6.82
7651,1xh7,6.82
7652,2ath,6.82
7653,2b1i,6.82
7654,2c94,6.82
7655,2d41,6.82
7656,2etk,6.82
7657,2etr,6.82
7658,2g97,6.82
7659,2jk9,6.82
7660,2oxd,6.82
7661,2pym,6.82
7662,2r9s,6.82
7663,2rfh,6.82
7664,2v5a,6.82
7665,2v8w,6.82
7666,2wk2,6.82
7667,2xyd,6.82
7668,2y1d,6.82
7669,2ydi,6.82
7670,2zq0,6.82
7671,3cqu,6.82
7672,3dnj,6.82
7673,3dx2,6.82
7674,3ipe,6.82
7675,3kb3,6.82
7676,3kwn,6.82
7677,3m3x,6.82
7678,3n5e,6.82
7679,3ncg,6.82
7680,3qbh,6.82
7681,3s75,6.82
7682,3s9t,6.82
7683,3t5i,6.82
7684,3tdz,6.82
7685,3ufl,6.82
7686,3uix,6.82
7687,3vf8,6.82
7688,3wzp,6.82
7689,4c8r,6.82
7690,4cku,6.82
7691,4gkc,6.82
7692,4gy5,6.82
7693,4h4d,6.82
7694,4lm5,6.82
7695,4n3r,6.82
7696,4nue,6.82
7697,4oew,6.82
7698,4ow0,6.82
7699,4qy3,6.82
7700,4w9s,6.82
7701,5aku,6.82
7702,1htf,6.83
7703,1tze,6.83
7704,2gnh,6.83
7705,2xnb,6.83
7706,3deh,6.83
7707,3e6v,6.83
7708,3kvx,6.83
7709,3zo4,6.83
7710,4bcq,6.83
7711,4o91,6.83
7712,4u91,6.83
7713,1bhx,6.84
7714,1me4,6.84
7715,2hxq,6.84
7716,2y5g,6.84
7717,3du8,6.84
7718,3ewj,6.84
7719,3lco,6.84
7720,3qio,6.84
7721,4kn1,6.84
7722,4l0s,6.84
7723,4l32,6.84
7724,4pul,6.84
7725,5cep,6.84
7726,5cnj,6.84
7727,1bap,6.85
7728,1ele,6.85
7729,1g30,6.85
7730,1h3b,6.85
7731,1lkk,6.85
7732,1os5,6.85
7733,1q72,6.85
7734,1qyg,6.85
7735,1rv1,6.85
7736,1sqc,6.85
7737,1tvo,6.85
7738,1xk9,6.85
7739,1xt8,6.85
7740,1yw2,6.85
7741,2axi,6.85
7742,2cbr,6.85
7743,2fjm,6.85
7744,2iw6,6.85
7745,2vgp,6.85
7746,2vto,6.85
7747,2vtq,6.85
7748,2yc3,6.85
7749,3emh,6.85
7750,3f5p,6.85
7751,3g42,6.85
7752,3h3c,6.85
7753,3iet,6.85
7754,3n76,6.85
7755,3pn4,6.85
7756,3pz3,6.85
7757,3qo2,6.85
7758,3rul,6.85
7759,3s8o,6.85
7760,3voz,6.85
7761,3wcg,6.85
7762,4b8p,6.85
7763,4d85,6.85
7764,4g16,6.85
7765,4gye,6.85
7766,4hki,6.85
7767,4k3h,6.85
7768,4nzm,6.85
7769,4ool,6.85
7770,4qtn,6.85
7771,4tkg,6.85
7772,4w9q,6.85
7773,4x9w,6.85
7774,4ybm,6.85
7775,5d7c,6.85
7776,2vd1,6.86
7777,3aid,6.86
7778,3pyy,6.86
7779,1cgl,6.87
7780,2zcr,6.87
7781,3c94,6.87
7782,3mo5,6.87
7783,3qin,6.87
7784,3tmk,6.87
7785,4mhz,6.87
7786,4re4,6.87
7787,4rvr,6.87
7788,4x1s,6.87
7789,1i3z,6.88
7790,1xka,6.88
7791,2c6n,6.88
7792,3oe5,6.88
7793,3u3u,6.88
7794,4bco,6.88
7795,4j4n,6.88
7796,4k43,6.88
7797,4n4s,6.88
7798,4uvc,6.88
7799,4wvl,6.88
7800,1b3f,6.89
7801,1fh8,6.89
7802,1jev,6.89
7803,1qhr,6.89
7804,1sb1,6.89
7805,1uz1,6.89
7806,1v0p,6.89
7807,1vr1,6.89
7808,1wqv,6.89
7809,2bfq,6.89
7810,2dri,6.89
7811,2e92,6.89
7812,2f34,6.89
7813,2gvz,6.89
7814,2iu0,6.89
7815,2jnp,6.89
7816,2r3w,6.89
7817,2vk2,6.89
7818,2wks,6.89
7819,2x38,6.89
7820,2xu5,6.89
7821,2y57,6.89
7822,2yiu,6.89
7823,2ym7,6.89
7824,2yol,6.89
7825,3f0r,6.89
7826,3fvg,6.89
7827,3fxz,6.89
7828,3hu1,6.89
7829,3hu3,6.89
7830,3jya,6.89
7831,3kvw,6.89
7832,3l4x,6.89
7833,3ljt,6.89
7834,3psl,6.89
7835,3py0,6.89
7836,3py1,6.89
7837,3qip,6.89
7838,3r4n,6.89
7839,3rak,6.89
7840,3tib,6.89
7841,3vsw,6.89
7842,3zrk,6.89
7843,3zrm,6.89
7844,4al4,6.89
7845,4awk,6.89
7846,4bo4,6.89
7847,4dvf,6.89
7848,4g4p,6.89
7849,4hn2,6.89
7850,4ks5,6.89
7851,4o76,6.89
7852,4op1,6.89
7853,4x8v,6.89
7854,4yik,6.89
7855,4yw7,6.89
7856,4zuq,6.89
7857,1k1l,6.90
7858,2hwo,6.90
7859,2p3g,6.90
7860,2w6n,6.90
7861,3a2c,6.90
7862,3cow,6.90
7863,3dy6,6.90
7864,3gbb,6.90
7865,3qo3,6.90
7866,3uyr,6.90
7867,4fz6,6.90
7868,4j4o,6.90
7869,4rh5,6.90
7870,4vgc,6.90
7871,4zzx,6.90
7872,1yuc,6.91
7873,2hha,6.91
7874,2ito,6.91
7875,3evc,6.91
7876,3evd,6.91
7877,3kbz,6.91
7878,3wde,6.91
7879,4bcm,6.91
7880,4jx7,6.91
7881,5can,6.91
7882,1a37,6.92
7883,1a9m,6.92
7884,1b39,6.92
7885,1d4w,6.92
7886,1jbd,6.92
7887,1k6v,6.92
7888,1m9n,6.92
7889,1o2j,6.92
7890,1o2k,6.92
7891,1o4a,6.92
7892,1ph0,6.92
7893,1pkx,6.92
7894,1swr,6.92
7895,1vj5,6.92
7896,2a3x,6.92
7897,2d3u,6.92
7898,2foy,6.92
7899,2g78,6.92
7900,2g79,6.92
7901,2o9j,6.92
7902,2oa0,6.92
